Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,Logistic Regression,Logistic Regression (Bad),Logistic Regression (Good)
Male,< 0 EU,18.0,All Paid,Furniture/Equipment,1553.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Car or Other,44.0,Bank,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.6268159287984407,0.3731840712015592
Female,No Account,30.0,Critical Account,Radio/Television,2831.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,33.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.07285332830945945,0.9271466716905405
Female,No Account,18.0,Critical Account,Radio/Television,1098.0,< 100 EU,Unemployed,> 35%,None,> 7 Years,Car or Other,65.0,None,Own,2 or 3,Unemployed Non-resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.06116084219798312,0.9388391578020169
Female,No Account,12.0,Existing Paid,Car(New),1386.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.18121709476407277,0.8187829052359272
Female,0 <= ... < 200 EU,48.0,None Taken,Car(New),8358.0,500 <= ... < 1000 EU,< 1 Year,< 20%,None,< 1 Year,Car or Other,30.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Bad,0.8392798628964506,0.16072013710354938
Male,No Account,36.0,Existing Paid,Car(Used),4686.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,32.0,None,For Free,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.07748732025260352,0.9225126797473965
Male,< 0 EU,12.0,Existing Paid,Radio/Television,674.0,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,20.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.14145254895396875,0.8585474510460313
Male,No Account,24.0,Existing Paid,Car(New),1474.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Real Estate,33.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.19263546058776415,0.8073645394122358
Male,0 <= ... < 200 EU,13.0,Critical Account,Radio/Television,882.0,< 100 EU,< 1 Year,> 35%,Guarantor,> 7 Years,Real Estate,23.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.09978449488245444,0.9002155051175456
Male,No Account,10.0,Existing Paid,Car(New),1287.0,Unknown,>= 7 Years,> 35%,Co-Applicant,1 - 4 Years,Savings Agreement/Life Insurance,45.0,None,Own,1,Unskilled Resident,< 3,None,No,Single,Good,Good,0.07591077166245752,0.9240892283375425
Female,< 0 EU,18.0,Existing Paid,Radio/Television,1882.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,25.0,Bank,Rent,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.8523634979882214,0.14763650201177858
Male,No Account,24.0,Critical Account,Furniture/Equipment,5150.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,33.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.047042965948180804,0.9529570340518192
Female,No Account,30.0,Critical Account,Radio/Television,5771.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,25.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.1751845787037154,0.8248154212962846
Male,< 0 EU,42.0,Existing Paid,Radio/Television,3965.0,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,34.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.7623161734903391,0.23768382650966094
Male,0 <= ... < 200 EU,15.0,Existing Paid,Radio/Television,1444.0,Unknown,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,23.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.15628061233788348,0.8437193876621165
Male,No Account,6.0,Delay Paid,Business,1743.0,100 <= ... < 500 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,34.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.02507014792081852,0.9749298520791815
Male,No Account,18.0,Critical Account,Radio/Television,1800.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,24.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.09000897342266945,0.9099910265773306
Male,No Account,36.0,Delay Paid,Business,7980.0,Unknown,< 1 Year,> 35%,None,> 7 Years,Car or Other,27.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Bad,Good,0.18725643364548838,0.8127435663545116
Male,>= 200 EU,6.0,Existing Paid,Furniture/Equipment,2116.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,41.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.05802426040748032,0.9419757395925197
Male,No Account,4.0,Critical Account,Radio/Television,1503.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Real Estate,42.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.01024379478799431,0.9897562052120057
Female,No Account,12.0,Critical Account,Education,2012.0,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,61.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.026039734486874577,0.9739602655131254
Female,0 <= ... < 200 EU,30.0,Existing Paid,Radio/Television,1715.0,Unknown,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.20845391836000937,0.7915460816399906
Female,< 0 EU,12.0,Existing Paid,Radio/Television,1498.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,23.0,Bank,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.4729379051327921,0.5270620948672079
Male,< 0 EU,18.0,Existing Paid,Radio/Television,1936.0,Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Car or Other,23.0,None,Rent,2 or 3,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.2340523228356226,0.7659476771643774
Male,No Account,6.0,Existing Paid,Retraining,1238.0,Unknown,Unemployed,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,36.0,None,Own,1,Highly Qualified,>= 3,Registered,Yes,Single,Good,Good,0.02836703068502211,0.9716329693149779
Male,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,590.0,< 100 EU,< 1 Year,25% - 35%,None,4 - 7 Years,Real Estate,26.0,None,Own,1,Unskilled Resident,< 3,None,No,Divorced/Separated/Married,Good,Good,0.21613502901365111,0.7838649709863489
Male,No Account,9.0,Existing Paid,Furniture/Equipment,1313.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Car or Other,20.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.07069379641172613,0.9293062035882739
Male,>= 200 EU,9.0,Existing Paid,Radio/Television,1126.0,100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,49.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.07204815769836626,0.9279518423016337
Male,No Account,12.0,Existing Paid,Radio/Television,804.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,38.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.11077844448092133,0.8892215555190787
Female,< 0 EU,15.0,Existing Paid,Business,806.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,22.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.4902490489531528,0.5097509510468472
Male,0 <= ... < 200 EU,24.0,Existing Paid,Other,11328.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,4 - 7 Years,Car or Other,29.0,Bank,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Bad,Bad,0.7123665109307628,0.28763348906923725
Male,0 <= ... < 200 EU,18.0,Existing Paid,Radio/Television,1301.0,< 100 EU,>= 7 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,32.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.20074539217686216,0.7992546078231378
Male,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,6468.0,Unknown,Unemployed,20% - 25%,None,< 1 Year,Unknown,52.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Good,0.06599212934273557,0.9340078706572644
Male,No Account,24.0,Existing Paid,Radio/Television,1413.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,28.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.16380451058773693,0.8361954894122631
Male,>= 200 EU,10.0,Critical Account,Car(New),781.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,63.0,None,For Free,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.21621288738894873,0.7837871126110513
Male,< 0 EU,24.0,Delay Paid,Car(New),4870.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Unknown,53.0,None,For Free,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.798575210715354,0.20142478928464605
Male,< 0 EU,12.0,Existing Paid,Furniture/Equipment,1262.0,Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,49.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.06621734199862006,0.9337826580013799
Female,No Account,36.0,Existing Paid,Furniture/Equipment,10974.0,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,26.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.4909633950376985,0.5090366049623015
Male,No Account,60.0,Delay Paid,Radio/Television,15653.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Car or Other,21.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.1978556187104239,0.8021443812895761
Male,>= 200 EU,18.0,All Paid,Radio/Television,1445.0,Unknown,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,49.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.10766237320529515,0.8923376267947049
Male,< 0 EU,60.0,Existing Paid,Business,7297.0,< 100 EU,>= 7 Years,> 35%,Co-Applicant,> 7 Years,Unknown,36.0,None,Rent,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.9581677715377465,0.041832228462253505
Male,No Account,24.0,Existing Paid,Radio/Television,3235.0,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Car or Other,36.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.11519575362543832,0.8848042463745617
Male,< 0 EU,12.0,None Taken,Radio/Television,6199.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,28.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.7411443137466021,0.2588556862533979
Female,0 <= ... < 200 EU,12.0,Existing Paid,Radio/Television,2930.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Real Estate,27.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.11380329623327956,0.8861967037667204
Male,No Account,12.0,Existing Paid,Education,1393.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,47.0,Bank,Own,4 or 5,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.3764858355184263,0.6235141644815737
Male,0 <= ... < 200 EU,20.0,Delay Paid,Other,2629.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,4 - 7 Years,Car or Other,29.0,Bank,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.2807611580000702,0.7192388419999298
Male,No Account,18.0,Critical Account,Car(New),1530.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,32.0,Bank,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.26032303353355957,0.7396769664664404
Male,No Account,36.0,Delay Paid,Radio/Television,4463.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,26.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Bad,Good,0.12298300870156198,0.877016991298438
Male,< 0 EU,9.0,Existing Paid,Furniture/Equipment,2136.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,25.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.3421289692107894,0.6578710307892106
Male,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,368.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,38.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.14518833049428892,0.8548116695057111
Male,< 0 EU,6.0,Critical Account,Car(New),1361.0,< 100 EU,< 1 Year,20% - 25%,None,> 7 Years,Real Estate,40.0,None,Own,1,Unskilled Resident,>= 3,None,No,Single,Good,Good,0.11437741876823138,0.8856225812317686
Male,No Account,12.0,Critical Account,Furniture/Equipment,1935.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,43.0,None,Own,4 or 5,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.021957771843989393,0.9780422281560106
Male,0 <= ... < 200 EU,15.0,Existing Paid,Repairs,1308.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,38.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.4889534151268258,0.5110465848731742
Male,>= 200 EU,24.0,Critical Account,Car(New),1344.0,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Real Estate,37.0,Bank,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Bad,Good,0.20112483625177013,0.7988751637482299
Female,No Account,18.0,Critical Account,Education,1864.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,30.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.1368788844648795,0.8631211155351205
Male,< 0 EU,36.0,Existing Paid,Car(Used),8229.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,26.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.5672960586483836,0.4327039413516164
Male,No Account,60.0,Existing Paid,Car(New),10366.0,< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,42.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.386796178130422,0.613203821869578
Male,0 <= ... < 200 EU,36.0,Existing Paid,Education,3711.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,27.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.3719841808898626,0.6280158191101374
Male,0 <= ... < 200 EU,48.0,None Taken,Business,12204.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,48.0,Bank,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.44126158855833664,0.5587384114416634
Female,No Account,4.0,Existing Paid,Furniture/Equipment,601.0,< 100 EU,< 1 Year,< 20%,None,4 - 7 Years,Real Estate,23.0,None,Rent,1,Unskilled Resident,>= 3,None,Yes,Divorced/Separated/Married,Good,Good,0.2774376817397557,0.7225623182602443
Female,0 <= ... < 200 EU,24.0,Critical Account,Education,5743.0,< 100 EU,< 1 Year,20% - 25%,None,> 7 Years,Unknown,24.0,None,For Free,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Bad,0.6175008096452783,0.38249919035472174
Male,0 <= ... < 200 EU,9.0,All Paid,Car(New),1437.0,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Unknown,29.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.5073956605583667,0.4926043394416333
Male,No Account,28.0,All Paid,Car(Used),7824.0,Unknown,< 1 Year,25% - 35%,Guarantor,> 7 Years,Real Estate,40.0,Bank,Rent,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.17677996351010716,0.8232200364898928
Male,< 0 EU,24.0,Critical Account,Business,1382.0,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Real Estate,26.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.056682662533275696,0.9433173374667243
Male,0 <= ... < 200 EU,6.0,Existing Paid,Car(New),14555.0,Unknown,Unemployed,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,23.0,None,Own,1,Unemployed Non-resident,< 3,Registered,Yes,Single,Bad,Good,0.3455001044296152,0.6544998955703848
Male,No Account,4.0,Critical Account,Car(New),1455.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Real Estate,42.0,None,Own,4 or 5,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.01679143806332517,0.9832085619366748
Male,No Account,6.0,Existing Paid,Radio/Television,2108.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Real Estate,29.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.06362352482385458,0.9363764751761454
Male,No Account,15.0,Existing Paid,Radio/Television,1386.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,40.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.04212644093520135,0.9578735590647987
Male,0 <= ... < 200 EU,24.0,Delay Paid,Business,6967.0,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,36.0,None,Rent,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.17004591676214287,0.8299540832378571
Male,< 0 EU,12.0,Existing Paid,Radio/Television,701.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,40.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.2649384729779246,0.7350615270220754
Female,0 <= ... < 200 EU,24.0,Existing Paid,Car(Used),11560.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Car or Other,23.0,None,Rent,2 or 3,Highly Qualified,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6315055935358211,0.3684944064641788
Male,No Account,30.0,Existing Paid,Radio/Television,1867.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,58.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.039661414337631595,0.9603385856623684
Male,No Account,11.0,Existing Paid,Business,2142.0,>= 1000 EU,>= 7 Years,< 20%,None,1 - 4 Years,Real Estate,28.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.024582610291923546,0.9754173897080765
Female,0 <= ... < 200 EU,24.0,Delay Paid,Car(New),1965.0,Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,42.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.38572474522916533,0.6142752547708347
Male,0 <= ... < 200 EU,48.0,None Taken,Business,14421.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,25.0,Stores,Own,1,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.7454632568350834,0.25453674316491665
Male,0 <= ... < 200 EU,12.0,Critical Account,Car(New),1995.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,< 1 Year,Car or Other,27.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.17913072048386214,0.8208692795161379
Male,No Account,18.0,Critical Account,Radio/Television,1149.0,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,46.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.02148195670351216,0.9785180432964878
Male,< 0 EU,36.0,All Paid,Furniture/Equipment,2746.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,31.0,Bank,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.7711732139544496,0.22882678604555037
Male,< 0 EU,48.0,Existing Paid,Appliances,3051.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Car or Other,54.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.6534202329827341,0.34657976701726595
Male,0 <= ... < 200 EU,30.0,Existing Paid,Furniture/Equipment,3832.0,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,22.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.31592745209217554,0.6840725479078245
Male,< 0 EU,60.0,Delay Paid,Business,6836.0,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,63.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Bad,Bad,0.7545700381700942,0.24542996182990584
Female,< 0 EU,15.0,Existing Paid,Appliances,1275.0,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,24.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6353065359008503,0.36469346409914977
Male,No Account,6.0,Existing Paid,Radio/Television,1346.0,100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,42.0,Bank,For Free,1,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.13643663968294284,0.8635633603170572
Male,>= 200 EU,10.0,Critical Account,Radio/Television,1347.0,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,27.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.03048792228743269,0.9695120777125673
Male,No Account,6.0,Critical Account,Radio/Television,1898.0,Unknown,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,34.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.015874587630408943,0.9841254123695911
Male,No Account,24.0,Existing Paid,Furniture/Equipment,3062.0,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,32.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.3508022117665407,0.6491977882334593
Male,No Account,15.0,Critical Account,Car(Used),3368.0,>= 1000 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,23.0,None,Rent,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.053935882336243135,0.9460641176637569
Male,< 0 EU,48.0,Existing Paid,Car(New),7763.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,42.0,Bank,For Free,1,Highly Qualified,< 3,None,Yes,Single,Bad,Bad,0.9355690537013371,0.06443094629866283
Male,< 0 EU,12.0,Critical Account,Car(New),691.0,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,35.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Bad,0.5657963167253781,0.4342036832746219
Male,< 0 EU,15.0,Critical Account,Furniture/Equipment,975.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,25.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.2107590247250869,0.7892409752749131
Male,0 <= ... < 200 EU,6.0,Existing Paid,Repairs,454.0,< 100 EU,< 1 Year,25% - 35%,None,< 1 Year,Savings Agreement/Life Insurance,22.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.27254848344467175,0.7274515165553282
Female,No Account,30.0,Existing Paid,Car(Used),4811.0,Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,Stores,Rent,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.05594348815582506,0.9440565118441749
Male,0 <= ... < 200 EU,48.0,None Taken,Business,3844.0,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,34.0,None,For Free,1,Unskilled Resident,>= 3,None,Yes,Single,Bad,Bad,0.6946233694617665,0.30537663053823344
Male,No Account,36.0,Delay Paid,Car(New),10875.0,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,45.0,None,Own,2 or 3,Skilled Official,>= 3,Registered,Yes,Single,Good,Good,0.4569840618085119,0.5430159381914881
Male,No Account,24.0,Existing Paid,Business,1258.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Real Estate,25.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.027524714399243977,0.972475285600756
Female,0 <= ... < 200 EU,18.0,Existing Paid,Furniture/Equipment,1924.0,Unknown,< 1 Year,> 35%,None,4 - 7 Years,Real Estate,27.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5125856989393751,0.48741430106062494
Female,< 0 EU,36.0,Existing Paid,Car(New),1842.0,< 100 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,34.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Bad,0.7650980594731618,0.23490194052683827
Male,No Account,12.0,Critical Account,Car(New),1495.0,< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Real Estate,38.0,None,Own,2 or 3,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.1021341543478903,0.8978658456521097
Male,No Account,12.0,Critical Account,Radio/Television,1934.0,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Unknown,26.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.12573851829849747,0.8742614817015025
Male,< 0 EU,42.0,Critical Account,Repairs,3394.0,< 100 EU,Unemployed,> 35%,Co-Applicant,> 7 Years,Car or Other,65.0,None,Own,2 or 3,Unemployed Non-resident,< 3,None,Yes,Single,Good,Good,0.4048021695225854,0.5951978304774146
Male,0 <= ... < 200 EU,48.0,Delay Paid,Other,7582.0,100 <= ... < 500 EU,Unemployed,20% - 25%,None,> 7 Years,Unknown,31.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.254821740529956,0.745178259470044
