Account.Balance,Sex,Payment.Status.of.Previous.Credit,Purpose,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Marital.Status,Duration.of.Credit..month.,Credit.Amount,Age..years.,Telephone,Foreign.Worker,Creditability,ID,Random Forest,Random Forest (Bad),Random Forest (Good)
< 0 EU,Male,All Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Car or Other,Bank,Own,1,Skilled Official,< 3,Single,18.0,1553.0,44.0,None,Yes,Bad,265.0,Bad,0.6636904761904762,0.3363095238095238
No Account,Female,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,30.0,2831.0,33.0,Registered,Yes,Good,451.0,Good,0.06999999999999999,0.93
No Account,Female,Critical Account,Radio/Television,< 100 EU,Unemployed,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Unemployed Non-resident,< 3,Divorced/Separated/Married,18.0,1098.0,65.0,None,Yes,Good,243.0,Good,0.15,0.85
No Account,Female,Existing Paid,Car(New),500 <= ... < 1000 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1386.0,26.0,None,Yes,Bad,562.0,Bad,0.5765873015873015,0.4234126984126984
0 <= ... < 200 EU,Female,None Taken,Car(New),500 <= ... < 1000 EU,< 1 Year,< 20%,None,< 1 Year,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,48.0,8358.0,30.0,None,Yes,Good,240.0,Good,0.365,0.635
No Account,Male,Existing Paid,Car(Used),< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Unknown,None,For Free,1,Highly Qualified,< 3,Single,36.0,4686.0,32.0,Registered,Yes,Good,679.0,Good,0.11666666666666667,0.8833333333333334
< 0 EU,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,674.0,20.0,None,Yes,Bad,885.0,Bad,0.6333333333333333,0.36666666666666664
No Account,Male,Existing Paid,Car(New),100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1474.0,33.0,Registered,Yes,Good,894.0,Good,0.07857142857142857,0.9214285714285715
0 <= ... < 200 EU,Male,Critical Account,Radio/Television,< 100 EU,< 1 Year,> 35%,Guarantor,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,13.0,882.0,23.0,None,Yes,Good,726.0,Good,0.075,0.925
No Account,Male,Existing Paid,Car(New),Unknown,>= 7 Years,> 35%,Co-Applicant,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Single,10.0,1287.0,45.0,None,No,Good,648.0,Good,0.0,1.0
< 0 EU,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,Bank,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,18.0,1882.0,25.0,None,Yes,Bad,645.0,Bad,0.6649999999999999,0.335
No Account,Male,Critical Account,Furniture/Equipment,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,24.0,5150.0,33.0,Registered,Yes,Good,162.0,Good,0.0,1.0
No Account,Female,Critical Account,Radio/Television,< 100 EU,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,30.0,5771.0,25.0,None,Yes,Good,584.0,Good,0.175,0.825
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,42.0,3965.0,34.0,None,Yes,Bad,194.0,Bad,0.7050000000000001,0.29500000000000004
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,Unknown,< 1 Year,> 35%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,15.0,1444.0,23.0,None,Yes,Good,193.0,Good,0.2166666666666667,0.7833333333333334
No Account,Male,Delay Paid,Business,100 <= ... < 500 EU,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,< 3,Single,6.0,1743.0,34.0,None,Yes,Good,318.0,Good,0.025,0.975
No Account,Male,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,1800.0,24.0,None,Yes,Good,854.0,Good,0.13333333333333333,0.8666666666666668
No Account,Male,Delay Paid,Business,Unknown,< 1 Year,> 35%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Single,36.0,7980.0,27.0,Registered,Yes,Bad,764.0,Bad,0.7614285714285713,0.23857142857142857
>= 200 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,6.0,2116.0,41.0,Registered,Yes,Good,563.0,Good,0.0,1.0
No Account,Male,Critical Account,Radio/Television,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Real Estate,None,Own,2 or 3,Unskilled Resident,>= 3,Single,4.0,1503.0,42.0,None,Yes,Good,329.0,Good,0.0,1.0
No Account,Female,Critical Account,Education,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,2012.0,61.0,None,Yes,Good,681.0,Good,0.13333333333333333,0.8666666666666666
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,Unknown,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,30.0,1715.0,26.0,None,Yes,Good,690.0,Good,0.33999999999999997,0.6599999999999999
< 0 EU,Female,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,< 1 Year,Car or Other,Bank,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1498.0,23.0,None,Yes,Good,328.0,Good,0.4216666666666667,0.5783333333333334
< 0 EU,Male,Existing Paid,Radio/Television,Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,18.0,1936.0,23.0,None,Yes,Good,816.0,Good,0.13999999999999999,0.86
No Account,Male,Existing Paid,Retraining,Unknown,Unemployed,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Highly Qualified,>= 3,Single,6.0,1238.0,36.0,Registered,Yes,Good,917.0,Good,0.05,0.95
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,< 1 Year,25% - 35%,None,4 - 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,590.0,26.0,None,No,Good,408.0,Good,0.0,1.0
No Account,Male,Existing Paid,Furniture/Equipment,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,9.0,1313.0,20.0,None,Yes,Good,916.0,Good,0.04,0.96
>= 200 EU,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,9.0,1126.0,49.0,None,Yes,Good,694.0,Good,0.03333333333333333,0.9666666666666668
No Account,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,12.0,804.0,38.0,None,Yes,Good,166.0,Good,0.0,1.0
< 0 EU,Female,Existing Paid,Business,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,15.0,806.0,22.0,None,Yes,Good,154.0,Good,0.13999999999999999,0.86
0 <= ... < 200 EU,Male,Existing Paid,Other,< 100 EU,1 <= ... < 4 Years,20% - 25%,Co-Applicant,4 - 7 Years,Car or Other,Bank,Own,2 or 3,Highly Qualified,< 3,Single,24.0,11328.0,29.0,Registered,Yes,Bad,486.0,Bad,0.8233333333333335,0.17666666666666667
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,Guarantor,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,18.0,1301.0,32.0,None,Yes,Good,407.0,Good,0.02,0.9800000000000001
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,Unknown,Unemployed,20% - 25%,None,< 1 Year,Unknown,None,Own,1,Highly Qualified,< 3,Single,12.0,6468.0,52.0,Registered,Yes,Bad,731.0,Good,0.425,0.575
No Account,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1413.0,28.0,None,Yes,Good,596.0,Good,0.05357142857142857,0.9464285714285715
>= 200 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,< 3,Single,10.0,781.0,63.0,Registered,Yes,Good,489.0,Good,0.17666666666666667,0.8233333333333335
< 0 EU,Male,Delay Paid,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,>= 3,Single,24.0,4870.0,53.0,None,Yes,Bad,629.0,Bad,0.875,0.125
< 0 EU,Male,Existing Paid,Furniture/Equipment,Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,1262.0,49.0,Registered,Yes,Good,568.0,Good,0.3616666666666667,0.6383333333333333
No Account,Female,Existing Paid,Furniture/Equipment,< 100 EU,Unemployed,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,36.0,10974.0,26.0,Registered,Yes,Bad,789.0,Bad,0.6185714285714285,0.38142857142857145
No Account,Male,Delay Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,60.0,15653.0,21.0,Registered,Yes,Good,865.0,Good,0.1319047619047619,0.868095238095238
>= 200 EU,Male,All Paid,Radio/Television,Unknown,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,Bank,Own,1,Unskilled Resident,< 3,Single,18.0,1445.0,49.0,None,Yes,Good,475.0,Good,0.16333333333333333,0.8366666666666667
< 0 EU,Male,Existing Paid,Business,< 100 EU,>= 7 Years,> 35%,Co-Applicant,> 7 Years,Unknown,None,Rent,1,Skilled Official,< 3,Single,60.0,7297.0,36.0,None,Yes,Bad,608.0,Bad,0.9047619047619048,0.09523809523809523
No Account,Male,Existing Paid,Radio/Television,500 <= ... < 1000 EU,>= 7 Years,25% - 35%,None,1 - 4 Years,Car or Other,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,24.0,3235.0,36.0,Registered,Yes,Good,160.0,Good,0.0,1.0
< 0 EU,Male,None Taken,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Rent,2 or 3,Skilled Official,< 3,Single,12.0,6199.0,28.0,Registered,Yes,Bad,400.0,Bad,0.5678571428571428,0.4321428571428571
0 <= ... < 200 EU,Female,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,2930.0,27.0,None,Yes,Good,173.0,Good,0.11333333333333333,0.8866666666666667
No Account,Male,Existing Paid,Education,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,Bank,Own,4 or 5,Skilled Official,>= 3,Single,12.0,1393.0,47.0,Registered,Yes,Good,372.0,Good,0.26666666666666666,0.7333333333333333
0 <= ... < 200 EU,Male,Delay Paid,Other,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,4 - 7 Years,Car or Other,Bank,Own,2 or 3,Skilled Official,< 3,Single,20.0,2629.0,29.0,Registered,Yes,Good,698.0,Good,0.24,0.76
No Account,Male,Critical Account,Car(New),< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Skilled Official,< 3,Single,18.0,1530.0,32.0,None,Yes,Bad,841.0,Bad,0.6,0.4
No Account,Male,Delay Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Single,36.0,4463.0,26.0,Registered,Yes,Bad,935.0,Good,0.3902380952380952,0.6097619047619047
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,9.0,2136.0,25.0,None,Yes,Good,777.0,Good,0.10833333333333332,0.8916666666666668
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,Unknown,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Single,6.0,368.0,38.0,None,Yes,Good,491.0,Good,0.10333333333333335,0.8966666666666667
< 0 EU,Male,Critical Account,Car(New),< 100 EU,< 1 Year,20% - 25%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,>= 3,Single,6.0,1361.0,40.0,None,No,Good,822.0,Good,0.075,0.925
No Account,Male,Critical Account,Furniture/Equipment,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,4 or 5,Skilled Official,< 3,Single,12.0,1935.0,43.0,Registered,Yes,Good,354.0,Good,0.04,0.96
0 <= ... < 200 EU,Male,Existing Paid,Repairs,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Unskilled Resident,< 3,Single,15.0,1308.0,38.0,None,Yes,Good,388.0,Good,0.2166666666666667,0.7833333333333333
>= 200 EU,Male,Critical Account,Car(New),Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Real Estate,Bank,Own,2 or 3,Unskilled Resident,>= 3,Single,24.0,1344.0,37.0,None,Yes,Bad,244.0,Bad,0.669047619047619,0.33095238095238094
No Account,Female,Critical Account,Education,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,18.0,1864.0,30.0,None,Yes,Bad,682.0,Bad,0.6110714285714286,0.38892857142857146
< 0 EU,Male,Existing Paid,Car(Used),< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,>= 3,Single,36.0,8229.0,26.0,None,Yes,Bad,513.0,Bad,0.5933333333333334,0.4066666666666666
No Account,Male,Existing Paid,Car(New),< 100 EU,>= 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Highly Qualified,< 3,Single,60.0,10366.0,42.0,Registered,Yes,Good,695.0,Good,0.2416666666666667,0.7583333333333333
0 <= ... < 200 EU,Male,Existing Paid,Education,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,36.0,3711.0,27.0,None,Yes,Good,435.0,Good,0.1933333333333333,0.8066666666666666
0 <= ... < 200 EU,Male,None Taken,Business,Unknown,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,Bank,Own,1,Highly Qualified,< 3,Single,48.0,12204.0,48.0,Registered,Yes,Good,335.0,Good,0.35,0.65
No Account,Female,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,< 20%,None,4 - 7 Years,Real Estate,None,Rent,1,Unskilled Resident,>= 3,Divorced/Separated/Married,4.0,601.0,23.0,None,Yes,Good,800.0,Good,0.18833333333333332,0.8116666666666668
0 <= ... < 200 EU,Female,Critical Account,Education,< 100 EU,< 1 Year,20% - 25%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,24.0,5743.0,24.0,Registered,Yes,Good,547.0,Good,0.2988095238095238,0.7011904761904761
0 <= ... < 200 EU,Male,All Paid,Car(New),100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Unknown,None,Own,1,Skilled Official,< 3,Single,9.0,1437.0,29.0,None,Yes,Bad,304.0,Bad,0.5333333333333334,0.4666666666666666
No Account,Male,All Paid,Car(Used),Unknown,< 1 Year,25% - 35%,Guarantor,> 7 Years,Real Estate,Bank,Rent,2 or 3,Skilled Official,>= 3,Single,28.0,7824.0,40.0,Registered,Yes,Good,226.0,Good,0.29333333333333333,0.7066666666666668
< 0 EU,Male,Critical Account,Business,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,24.0,1382.0,26.0,Registered,Yes,Good,604.0,Good,0.29,0.71
0 <= ... < 200 EU,Male,Existing Paid,Car(New),Unknown,Unemployed,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,1,Unemployed Non-resident,< 3,Single,6.0,14555.0,23.0,Registered,Yes,Bad,846.0,Bad,0.7233333333333334,0.27666666666666667
No Account,Male,Critical Account,Car(New),< 100 EU,4 <= ... < 7 Years,20% - 25%,None,< 1 Year,Real Estate,None,Own,4 or 5,Unskilled Resident,>= 3,Single,4.0,1455.0,42.0,None,Yes,Good,428.0,Good,0.0,1.0
No Account,Male,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,2108.0,29.0,None,Yes,Good,219.0,Good,0.025,0.975
No Account,Male,Existing Paid,Radio/Television,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,1386.0,40.0,Registered,Yes,Good,665.0,Good,0.0,1.0
0 <= ... < 200 EU,Male,Delay Paid,Business,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,1,Highly Qualified,< 3,Single,24.0,6967.0,36.0,Registered,Yes,Good,339.0,Good,0.125,0.875
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,701.0,40.0,None,Yes,Good,422.0,Good,0.2533333333333333,0.7466666666666667
0 <= ... < 200 EU,Female,Existing Paid,Car(Used),< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Highly Qualified,< 3,Divorced/Separated/Married,24.0,11560.0,23.0,None,Yes,Bad,387.0,Bad,0.8266666666666665,0.17333333333333334
No Account,Male,Existing Paid,Radio/Television,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,30.0,1867.0,58.0,Registered,Yes,Good,239.0,Good,0.0,1.0
No Account,Male,Existing Paid,Business,>= 1000 EU,>= 7 Years,< 20%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,11.0,2142.0,28.0,Registered,Yes,Good,913.0,Good,0.0,1.0
0 <= ... < 200 EU,Female,Delay Paid,Car(New),Unknown,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,24.0,1965.0,42.0,Registered,Yes,Good,268.0,Good,0.10428571428571429,0.8957142857142857
0 <= ... < 200 EU,Male,None Taken,Business,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Car or Other,Stores,Own,1,Skilled Official,< 3,Single,48.0,14421.0,25.0,Registered,Yes,Bad,276.0,Bad,0.7966666666666666,0.2033333333333333
0 <= ... < 200 EU,Male,Critical Account,Car(New),100 <= ... < 500 EU,< 1 Year,> 35%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Single,12.0,1995.0,27.0,None,Yes,Good,811.0,Good,0.20666666666666664,0.7933333333333332
No Account,Male,Critical Account,Radio/Television,>= 1000 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Single,18.0,1149.0,46.0,None,Yes,Good,440.0,Good,0.0,1.0
< 0 EU,Male,All Paid,Furniture/Equipment,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,Bank,Own,1,Skilled Official,< 3,Single,36.0,2746.0,31.0,None,Yes,Bad,389.0,Bad,0.7375,0.2625
< 0 EU,Male,Existing Paid,Appliances,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,48.0,3051.0,54.0,None,Yes,Bad,151.0,Bad,0.8550000000000001,0.145
0 <= ... < 200 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,20% - 25%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,30.0,3832.0,22.0,None,Yes,Good,942.0,Good,0.31333333333333335,0.6866666666666668
< 0 EU,Male,Delay Paid,Business,< 100 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,None,Own,2 or 3,Skilled Official,< 3,Single,60.0,6836.0,63.0,Registered,Yes,Bad,753.0,Bad,0.8800000000000001,0.12
< 0 EU,Female,Existing Paid,Appliances,Unknown,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,15.0,1275.0,24.0,None,Yes,Bad,945.0,Bad,0.75,0.25
No Account,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Unknown,Bank,For Free,1,Skilled Official,>= 3,Single,6.0,1346.0,42.0,Registered,Yes,Good,616.0,Good,0.225,0.775
>= 200 EU,Male,Critical Account,Radio/Television,Unknown,4 <= ... < 7 Years,> 35%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,10.0,1347.0,27.0,Registered,Yes,Good,429.0,Good,0.05333333333333333,0.9466666666666667
No Account,Male,Critical Account,Radio/Television,Unknown,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,None,Own,2 or 3,Unskilled Resident,>= 3,Single,6.0,1898.0,34.0,None,Yes,Good,775.0,Good,0.0,1.0
No Account,Male,Existing Paid,Furniture/Equipment,500 <= ... < 1000 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,None,Rent,1,Skilled Official,< 3,Single,24.0,3062.0,32.0,Registered,Yes,Good,267.0,Good,0.135,0.865
No Account,Male,Critical Account,Car(Used),>= 1000 EU,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,None,Rent,2 or 3,Skilled Official,< 3,Single,15.0,3368.0,23.0,Registered,Yes,Good,379.0,Good,0.06666666666666667,0.9333333333333332
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,Bank,For Free,1,Highly Qualified,< 3,Single,48.0,7763.0,42.0,None,Yes,Bad,907.0,Bad,0.9166666666666666,0.08333333333333333
< 0 EU,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,12.0,691.0,35.0,None,Yes,Bad,571.0,Good,0.49428571428571433,0.5057142857142857
< 0 EU,Male,Critical Account,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,15.0,975.0,25.0,None,Yes,Good,585.0,Good,0.31047619047619046,0.6895238095238095
0 <= ... < 200 EU,Male,Existing Paid,Repairs,< 100 EU,< 1 Year,25% - 35%,None,< 1 Year,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,454.0,22.0,None,Yes,Good,425.0,Good,0.15,0.85
No Account,Female,Existing Paid,Car(Used),Unknown,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,Stores,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,30.0,4811.0,24.0,None,Yes,Good,469.0,Good,0.03111111111111111,0.9688888888888888
0 <= ... < 200 EU,Male,None Taken,Business,100 <= ... < 500 EU,4 <= ... < 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Unskilled Resident,>= 3,Single,48.0,3844.0,34.0,None,Yes,Bad,702.0,Bad,0.6016666666666667,0.3983333333333333
No Account,Male,Delay Paid,Car(New),< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,>= 3,Single,36.0,10875.0,45.0,Registered,Yes,Good,295.0,Good,0.25,0.75
No Account,Male,Existing Paid,Business,< 100 EU,4 <= ... < 7 Years,> 35%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Single,24.0,1258.0,25.0,Registered,Yes,Good,799.0,Good,0.22999999999999998,0.77
0 <= ... < 200 EU,Female,Existing Paid,Furniture/Equipment,Unknown,< 1 Year,> 35%,None,4 - 7 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,1924.0,27.0,None,Yes,Bad,886.0,Good,0.4833333333333333,0.5166666666666667
< 0 EU,Female,Existing Paid,Car(New),< 100 EU,< 1 Year,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,36.0,1842.0,34.0,Registered,Yes,Bad,877.0,Bad,0.6192857142857142,0.38071428571428567
No Account,Male,Critical Account,Car(New),< 100 EU,>= 7 Years,> 35%,None,< 1 Year,Real Estate,None,Own,2 or 3,Unskilled Resident,>= 3,Single,12.0,1495.0,38.0,None,Yes,Good,736.0,Good,0.06,0.9400000000000001
No Account,Male,Critical Account,Radio/Television,< 100 EU,>= 7 Years,20% - 25%,None,1 - 4 Years,Unknown,None,Own,2 or 3,Skilled Official,< 3,Single,12.0,1934.0,26.0,None,Yes,Good,520.0,Good,0.06,0.9400000000000001
< 0 EU,Male,Critical Account,Repairs,< 100 EU,Unemployed,> 35%,Co-Applicant,> 7 Years,Car or Other,None,Own,2 or 3,Unemployed Non-resident,< 3,Single,42.0,3394.0,65.0,None,Yes,Good,419.0,Good,0.42333333333333334,0.5766666666666667
0 <= ... < 200 EU,Male,Delay Paid,Other,100 <= ... < 500 EU,Unemployed,20% - 25%,None,> 7 Years,Unknown,None,Own,1,Highly Qualified,< 3,Single,48.0,7582.0,31.0,Registered,Yes,Good,718.0,Good,0.22333333333333333,0.7766666666666666
